repeat,noise_fraction,protocol,eigen_index,eigenvalue,retained_90
10,0.0,deterministic,5,0.7672509177538008,4
10,0.0,deterministic,6,0.46665316526381667,4
10,0.0,deterministic,7,0.4466720824777011,4
10,0.0,deterministic,8,0.4239429181174176,4
10,0.0,deterministic,9,0.3556742356472603,4
10,0.0,deterministic,10,0.26260531393323544,4
10,0.05,CRN,1,260.7932764537982,4
10,0.05,CRN,2,62.894661269149786,4
10,0.05,CRN,3,56.64158842899252,4
10,0.05,CRN,4,41.497286994838376,4
10,0.05,CRN,5,0.6341194678165147,4
10,0.05,CRN,6,0.5736251962266885,4
10,0.05,CRN,7,0.4126188636506169,4
10,0.05,CRN,8,0.3894725509408875,4
10,0.05,CRN,9,0.30017130997217434,4
10,0.05,CRN,10,0.24414508586400469,4
10,0.05,independent,1,318.02043198479134,8
10,0.05,independent,2,122.51022237307431,8
10,0.05,independent,3,109.44449035982362,8
10,0.05,independent,4,106.64988737345655,8
10,0.05,independent,5,93.11870053033567,8
10,0.05,independent,6,69.18266831135045,8
10,0.05,independent,7,65.30715822977773,8
10,0.05,independent,8,53.97968219541561,8
10,0.05,independent,9,34.399683782651095,8
10,0.05,independent,10,34.25834550992747,8
10,0.15,CRN,1,271.4209121520289,3
10,0.15,CRN,2,66.29413184027351,3
10,0.15,CRN,3,48.99429073975669,3
10,0.15,CRN,4,28.49950898761066,3
10,0.15,CRN,5,0.7071738500938253,3
10,0.15,CRN,6,0.5280725635460848,3
10,0.15,CRN,7,0.5191055407227602,3
10,0.15,CRN,8,0.4208750715518711,3
10,0.15,CRN,9,0.36358148029182175,3
10,0.15,CRN,10,0.31092262313140384,3
10,0.15,independent,1,1242.2486529515886,9
10,0.15,independent,2,1144.9109941102531,9
10,0.15,independent,3,1029.7240847303744,9
10,0.15,independent,4,919.4724912237488,9
10,0.15,independent,5,586.3447377358763,9
10,0.15,independent,6,481.6783523770788,9
10,0.15,independent,7,450.21224447798556,9
10,0.15,independent,8,429.43012989762406,9
10,0.15,independent,9,418.49663104318546,9
10,0.15,independent,10,393.7079365249768,9
11,0.0,deterministic,1,269.15310470835317,3
11,0.0,deterministic,2,65.44441841210532,3
11,0.0,deterministic,3,46.6607442254392,3
11,0.0,deterministic,4,35.58817923269827,3
11,0.0,deterministic,5,0.8048045802604316,3
11,0.0,deterministic,6,0.5997044699665094,3
11,0.0,deterministic,7,0.5162871863558622,3
11,0.0,deterministic,8,0.3897306417304625,3
11,0.0,deterministic,9,0.3183312772598805,3
11,0.0,deterministic,10,0.2994502218461862,3
11,0.05,CRN,1,271.4209121520289,3
11,0.05,CRN,2,66.29413184027355,3
11,0.05,CRN,3,48.99429073975669,3
11,0.05,CRN,4,28.499508987610614,3
11,0.05,CRN,5,0.7071738500938194,3
11,0.05,CRN,6,0.5280725635460911,3
11,0.05,CRN,7,0.519105540722757,3
11,0.05,CRN,8,0.420875071551864,3
11,0.05,CRN,9,0.3635814802918202,3
11,0.05,CRN,10,0.31092262313139907,3
11,0.05,independent,1,353.1153005450247,8
11,0.05,independent,2,184.35585911602018,8
11,0.05,independent,3,150.36418896672532,8
11,0.05,independent,4,114.37100277144766,8
11,0.05,independent,5,103.58047182417039,8
11,0.05,independent,6,65.82040182820026,8
11,0.05,independent,7,56.973144808794046,8
11,0.05,independent,8,50.451489851414536,8
11,0.05,independent,9,48.18641914847564,8
11,0.05,independent,10,46.99124380852627,8
11,0.15,CRN,1,252.66905849823638,4
11,0.15,CRN,2,68.78006629649924,4
11,0.15,CRN,3,53.76954816457958,4
11,0.15,CRN,4,47.58606073026478,4
11,0.15,CRN,5,0.8968008219439731,4
11,0.15,CRN,6,0.5620988458672507,4
11,0.15,CRN,7,0.42864323897638135,4
11,0.15,CRN,8,0.379446944336836,4
11,0.15,CRN,9,0.35458086227052454,4
11,0.15,CRN,10,0.28766820163621315,4
11,0.15,independent,1,991.2752554557674,9
11,0.15,independent,2,943.5439933473598,9
11,0.15,independent,3,832.7731382848174,9
11,0.15,independent,4,575.7237321831129,9
11,0.15,independent,5,561.739783857352,9
11,0.15,independent,6,554.4802378062302,9
11,0.15,independent,7,443.94689073390833,9
11,0.15,independent,8,411.6963173596081,9
11,0.15,independent,9,390.976435859642,9
11,0.15,independent,10,370.8116688188424,9
